答案,題目,選項A,選項B,選項C,選項D,
1234,當設定相關性參數後，模組組態檔build.gradle的dependencies資料內容會變動。下列哪些項目是屬於正確的相關性設定值？,compile 'com.android.support:appcompat-v7:23.0.1',compile project(':MyUtilities'),compile files('libs/json.jar'),"compile fileTree(dir:'libs',include:['*.jar'])",
4,下列哪一項是Android platform提供使用的Database？,MySQL,PostgreSQL,Oracle,SQLite,
3,關於系統預設產生的除錯金鑰檔案庫，下列敘述哪一項錯誤？,除錯用的金鑰有效期限通常是一年,除錯金鑰檔案庫若被刪除，系統會自動產生一個新的金鑰檔案庫，一年內有效,除錯用的金鑰沒有期限的限制，可以無限期使用,以除錯金鑰進行簽章的App可以安裝到模擬器與一般實體手機,
3,使用MediaPlayer播放音樂或影片時，可使用MediaPlayer.setDataSource()來設定要播放的Source，下列哪一項不是setDataSource()支援的建構方法？,MediaPlayer.setDataSource(String path);,MediaPlayer.setDataSource(FileDescriptor fd);,MediaPlayer.setDataSource(FileInputStream stream);,"MediaPlayer.setDataSource(Context context, Uri uri);",
12,在Android SDK中，提供下列哪些工具來協助開發者做測試？,monitor,adb,mksdcard,zipalign,
1234,關於模擬器的設定，下列哪些正確？,可以自行設定螢幕尺寸,可以自行設定螢幕像素,可以自行設定記憶體大小,可以自行設定SD卡,
12,繼承ContentProvider時，下列哪些方法必須自行實作？,onCreate,getType,drop,openFile,
24,利用Gradle設定組態定義檔時，可以利用Flavors和Build Types指定不同的編譯組合方式，讓程式開發過程簡便不少，請問下列哪些是Build Types內建的選項？,normal,debug,test,release,
234,在Android Studio新建專案的過程中，下列敘述哪些正確？,「Layout Name」欄位預設值為activity_main，為活動名稱,「Company Domain」欄位值在自動組合後將會倒置為套件名稱,「Project location」欄位是指專案將儲存的檔案目錄路徑,「Minimum SDK」欄位是指此Android Project最低可支援的Android API程式函式庫版本,
1,若要在res目錄中定義程式放入不需要壓縮的原始資料檔，例如：視訊檔，需在下列哪一項進行設定？,raw,menu,color,values,
4,在Activity運作中按下[BACK]鍵，Activity會最先呼叫下列哪一項方法？,onDestroy,onStop,onStopCommand,onPause,
4,在Activity運作中按下[HOME]鍵，Activity會最先呼叫下列哪一項方法？,onDestroy,onStop,onStopCommand,onPause,
3,下列哪一項方法，可從一個Activity跳轉到另一個Activity（需返回資訊）？,startActivity,startActivityByResult,startActivityForResult,newActivity,
4,關於版面配置的敘述，下列哪一項錯誤？,可以透過程式直接定義版面配置,在版面配置檔案中，以<?layout標籤作開頭,可以使用的Layout包含LinearLayout、TableLayout,在LinearLayout元件中，可以透過android:port屬性定義螢幕方向,
2,下列哪一項內建介面元件，設計目的為讓使用者能選擇多個選項？,RadioButton,CheckBox,Gallery,ListBox,
4,如果要開發Android Things的應用程式，Android SDK最低版本下列哪一項正確？,Android 7（Nougat），API 24,Android 7.1（Nougat），API 25,Android 8（Oreo），API 26,Android 8.1（Oreo），API 27,
2,Activity在手機執行階段，其可視性（Visible）週期，分別起始與結束於兩個階段，下列哪一項正確？,Activity onRestore與Activity onStop,Activity onStart與Activity onStop,Activity onResume與Activity onPause,Activity onCreate與Activity onDestroy,
14,"在網路安全性設定功能，要自訂信任的憑證伺服器（Certificate Authority, CA），需要在下列安全性設定檔的哪些標籤下進行設定？",<base-config>,<trust-anchors>,<certificates>,<domain-config>,
123,Room提供了一個SQLite之上的抽象層，提供開發者更方便的方式操作資料庫，而其主要的元件下列哪些正確？,database,entity,DAO（Data Access Object）,table,
13,關於Resources.openRawResource(R.raw.myDataFile)的敘述，下列哪些正確？,可以取得專案目錄下的res/raw/myDataFile,可以取得/data/data/package_name/files/myDataFile,可以用來取得drawable、sound和raw resources,可以透過取得的物件，將資料寫回myDataFile,
3,在ImageView中設定一張動態的GIF圖檔，下列哪一項執行結果正確？,ImageView中不會顯示任何影像,執行時會出現程式錯誤,ImageView中僅會顯示動態GIF圖檔的第一個影像畫格,ImageView中可正常顯示GIF圖檔並可顯示動畫,
12,"子母畫面（Picture-in-Picture, PIP）模式讓應用程式在釘選視窗中執行影片活動，同時讓另一個活動在背景持續進行。如要宣告支援子母畫面的話，下列哪些配置參數需要設定為true？",android:resizeableActivity,android:supportsPictureInPicture,android:inMultiWindowAndroid,android:inPictureInPicture,
2,下列哪一項內建介面元件，設計目的為讓使用者能輸入內容？,TextView,EditText,CheckBox,ImageView,
1,關於[HOME]鍵的敘述，下列哪一項正確？,按下[HOME]鍵會停止目前的Activity並將目前的Activity移到背景,按下[HOME]鍵會停止目前的Activity並將目前的Activity移到前景,按下[HOME]鍵會繼續目前的Activity並將目前的Activity移到前景,按下[HOME]鍵會繼續目前的Activity並將目前的Activity移到背景,
3,為了實現IPC（Interprocess Communication），在Android中需使用下列哪一項工具？,AVD,ADB,AIDL,AAPT,
4,要為自己的應用程式新增一個SearchManager的搜尋功能，下列敘述哪一項錯誤？,需要一個Activty處理搜尋動作,搜尋Activity會取得Intent.ACTION_SEARCH和查詢內容,需要設定AndroidManifest.xml,searchable.xml只有在需要公開給Quick Search Box時才需要設定,
4,如附圖所示之程式碼，為程式使用VideoView的宣告，其記憶卡的根目錄存放了1.3gp影片檔，下列敘述哪一項正確？,播放影片1.3gp，尺寸為原尺寸,播放影片1.3gp，放大尺寸,程式執行後，播放顯示黑色的畫面,程式有錯，無法執行,
1,所有的介面元件都繼承自下列哪一項類別？,View,Widget,Interface,UI,
2,在應用程式中可使用BluetoothAdapter.getDefaultAdapter()來取得BluetoothAdapter物件，請問要判斷手持設備是否開啟藍牙，要用下列哪一個方法？,BluetoothAdapter.isOpened(),BluetoothAdapter.isEnabled(),BluetoothAdapter.enabled(),BluetoothAdapter.opened(),
